Fecha,Temp,pH,Turbidez,muertes,Alimento,Oxigeno,Luminosidad
10-07-19,26.58,7.76,3.51,82,4,11.8,1722
10-08-19,25.78,7.78,3.54,103,4,,
10-09-19,26.63,7.82,3.57,77,4,,
10-10-19,26.26,7.73,3.61,93,4,,
10-11-19,25.38,7.39,3.49,88,4,10.69,1790
10-12-19,26.63,7.19,3.37,27,4,,
10-13-19,26.51,7.17,3.45,33,4,,
10-14-19,27.08,7.21,3.2,42,4,,
10-15-19,26.3,7.22,3.12,30,4,11.33,1699
10-16-19,25.37,7.24,2.87,44,4,,
10-17-19,25.42,7.34,2.84,32,4,,
10-18-19,25.37,7.77,2.94,28,4,,
10-19-19,25.26,8.02,2.85,31,4,10.95,1733
10-20-19,25.49,7.98,2.78,20,4,,
10-21-19,25.69,8.08,2.8,14,4,,
10-22-19,27.2,7.91,2.92,16,4,,
10-23-19,26.09,7.91,2.94,19,4,10.86,1860
10-24-19,25.91,7.86,2.99,18,4,,
10-25-19,25.32,7.7,3.17,15,4,,
10-26-19,25.67,7.57,3.56,13,4,,
10-27-19,25.43,7.84,3.7,9,4,,
10-28-19,25.63,8.04,3.6,27,4,11.4,1755
10-29-19,25.31,8.06,3.65,15,4,,
10-30-19,25.23,8.13,3.66,20,4,,
10-31-19,26.02,7.91,3.45,16,4,,
11-01-19,26.55,8.06,3.43,18,4,12.2,1691
11-02-19,25.38,8.01,3.48,2,4,,
11-03-19,25.39,7.94,3.73,16,4,,
11-04-19,25.38,8.02,3.64,4,4,,
11-05-19,25.13,8.21,3.8,18,4,11.77,1821
11-06-19,25.39,8.21,3.7,24,4,,
11-07-19,25.24,8.23,3.56,8,4,,
11-08-19,25.33,8.33,3.29,11,4,,
11-09-19,25.64,8.24,3.14,8,4,12.18,1798
11-10-19,25.73,8.1,2.93,13,4,,
11-11-19,25.12,8.11,2.87,15,3,,
11-12-19,25.45,7.72,3.11,22,3,,
11-13-19,26.96,7.44,3.3,14,3,11.63,1689
11-14-19,25.2,7.7,3.41,25,3,,
11-15-19,25.63,7.74,3.68,55,3,,
11-16-19,26.18,7.66,3.86,39,3,,
11-17-19,25.59,7.29,3.94,63,3,10.78,1721
11-18-19,26.05,7.33,4.05,88,3,,
11-19-19,25.39,7.48,3.99,104,3,,
11-20-19,25.21,7.3,3.94,60,3,,
11-21-19,25.25,7.11,4.06,55,3,10.93,1832
11-22-19,25.85,7.45,4.37,72,2,,
11-23-19,25.3,8.01,4.56,133,2,,
11-24-19,25.48,7.9,4.56,122,2,,
11-25-19,25.21,8.04,4.37,89,2,10.99,1802
11-26-19,25.39,8.24,4.29,98,2,,
11-27-19,25.42,8.15,4.23,84,2,,
11-28-19,25.41,7.87,4.35,92,2,,
11-29-19,25.25,7.6,4.32,101,4,11.16,1775
11-30-19,25.35,7.85,4.29,38,4,,
12-01-19,24.91,7.8,3.78,11,4,,
12-02-19,25.17,7.71,3.61,13,4,,
12-03-19,25,7.79,3.52,8,4,,
12-04-19,25.62,7.68,3.4,5,4,,
12-05-19,26.22,7.75,3.21,8,4,,
12-06-19,27.38,7.7,3.33,4,4,,
12-07-19,28.65,7.45,3.53,13,4,,
12-08-19,28.91,7.42,3.56,9,4,,
12-09-19,28.34,7.31,3.64,17,4,,
12-10-19,28.59,7.39,3.91,2,4,,
12-11-19,28.66,7.51,3.7,3,4,,
12-12-19,27.51,7.63,3.5,0,4,,
12-13-19,27.18,7.65,3.53,1,4,,
12-14-19,25.88,7.5,3.57,2,4,,
12-15-19,25,7.62,3.88,1,4,,
12-16-19,24.27,7.7,4.04,4,4,,
12-17-19,24.6,7.74,4.07,3,4,,
12-18-19,24.87,7.54,4.05,3,4,,
12-19-19,24.63,7.4,4.17,9,4,,
12-20-19,24.29,7.29,4.28,4,4,,
12-21-19,24.58,7.16,4.23,93,4,11.44,
12-22-19,26.12,6.97,3.85,84,4,,1701
12-23-19,26.69,7.16,3.86,91,4,,
12-24-19,24.88,7,3.66,72,4,,
12-25-19,25.97,7.01,3.84,52,4,,
12-26-19,24.85,7.24,3.99,23,4,,
12-27-19,24.71,7.02,4.02,12,4,11.32,1688
12-28-19,24.62,7.09,4.04,13,4,,
12-29-19,24.32,7.23,4.23,8,4,,
12-30-19,25.53,7.37,4.31,5,4,,
12-31-19,26.71,7.89,4.37,1,4,,
01-01-20,26.86,7.57,3.5,3,4,10.96,1687
01-02-20,27.19,7.97,3.32,8,4,,
01-03-20,26.21,8.03,3.28,1,4,,
01-04-20,25.48,7.92,3.53,5,4,,
01-05-20,24.67,7.99,3.87,3,4,,
01-06-20,24.34,7.98,3.89,10,4,11.03,1790
01-07-20,24.52,7.99,3.82,9,4,,
01-08-20,24.97,8.03,3.88,15,5,,
01-09-20,23.98,8,3.58,18,5,,
01-10-20,22.91,7.78,3.65,25,5,,
01-11-20,23.2,7.5,3.52,32,5,11.33,1753
01-12-20,23.91,7.46,3.13,28,5,,
01-13-20,24.75,7.49,3.13,19,5,,
01-14-20,24.65,7.43,3.31,15,5,,
01-15-20,25.24,7.02,3.3,13,5,,
01-16-20,24.79,7.03,3.39,21,5,11.56,1822
01-17-20,24.17,7.21,3.2,21,5,,
01-18-20,23.7,7.08,3.12,28,5,,
01-19-20,22.4,7.43,3.15,30,5,,
01-20-20,23.11,7.31,3.14,28,5,11.49,1836
01-21-20,24.03,7.71,3.11,22,5,,
01-22-20,22.88,7.88,3.02,26,5,,
01-23-20,22.74,8.06,3.16,40,5,,
01-24-20,23.67,8.06,3.15,17,5,,
01-25-20,23.83,7.94,3.22,25,5,11.38,1833
01-26-20,23.46,7.74,3.52,23,5,,
01-27-20,21.61,7.82,3.56,37,5,,
01-28-20,21.61,8.06,3.76,33,5,,
01-29-20,21.59,8.07,3.99,31,4,11.15,1825
01-30-20,21.85,8,3.91,41,4,,
01-31-20,22.55,7.91,3.77,32,4,,
02-01-20,21.62,8.1,3.43,44,4,,
02-02-20,22.15,7.9,3.33,51,4,11.4,1802
02-03-20,21.88,7.99,3.06,33,5,,
02-04-20,22.2,8.36,2.88,27,5,,
02-05-20,21.8,8.57,2.93,38,5,,
02-06-20,21.11,8.51,2.91,32,5,11.54,1787
02-07-20,21.89,8.59,2.66,61,5,,
02-08-20,22.58,8.41,2.72,28,5,,
02-09-20,24.61,8.16,2.92,33,5,,
02-10-20,25.11,8.03,3.13,28,5,,
02-11-20,24.22,8.36,3.51,47,5,11.79,1721
02-12-20,23.81,8.16,3.6,37,5,,
02-13-20,22.78,7.89,3.47,28,5,,
02-14-20,21.66,8.08,3.45,33,5,,
02-15-20,22.69,7.98,3.21,26,5,,
02-16-20,24.22,7.01,3.65,33,5,,
02-17-20,23.57,7.28,3.58,44,5,,
02-18-20,23.28,7.13,3.53,31,5,,
02-19-20,23.93,7.03,3.48,27,5,,
02-20-20,26.2,6.88,3.46,20,5,,
02-21-20,25.41,7.01,3.54,11,5,,
02-22-20,25.26,6.83,3.45,24,5,,
02-23-20,23.87,6.98,3.34,26,5,,
02-24-20,24.14,7.02,3.34,19,5,,
02-25-20,24.61,6.94,3.45,15,5,,
02-26-20,24.64,7.05,3.72,22,5,,
02-27-20,24.71,7.17,3.4,38,5,,
02-28-20,24.71,7.34,3.32,10,5,,
02-29-20,25.39,7.55,3.33,5,5,,
03-01-20,25.35,7.7,3.2,7,5,,
03-02-20,26.41,7.45,3.07,11,5,,
03-03-20,27.84,7.26,3.21,3,5,,
03-04-20,28.16,6.97,3.16,5,5,,
03-05-20,29.04,6.69,3.38,1,5,,
03-06-20,28.32,6.74,3.51,3,5,,
03-07-20,28.96,6.66,3.27,18,5,,
03-08-20,29.89,6.71,3.08,26,5,11.48,1801
03-09-20,30.02,6.63,3.12,70,5,,
03-10-20,29,6.63,3.42,65,5,,
03-11-20,28.46,6.81,3.4,13,5,,
03-12-20,28.14,6.75,3.31,21,5,,
03-13-20,27.01,6.95,3.33,7,5,11.45,1840
03-14-20,25.44,6.93,3.29,5,5,,
03-15-20,25.44,7.03,3.27,3,5,,
03-16-20,24.59,6.88,3.27,9,5,,
03-17-20,26.5,6.89,3.31,9,5,,
03-18-20,24.57,7,3.19,10,5,11.4,1705
03-19-20,25.07,6.7,3.22,13,5,,
03-20-20,25.81,6.65,3.29,19,5,,
03-21-20,27.36,6.69,3.3,4,5,,
03-22-20,28.24,6.75,3.57,6,5,,
03-23-20,28.91,6.81,3.46,8,5,11.53,1694
03-24-20,26.87,6.99,3.5,8,5,,
03-25-20,26.17,6.84,3.5,5,5,,
03-26-20,27.09,6.93,3.7,2,5,,
03-27-20,26.34,7.28,3.56,0,5,11.68,1833
03-28-20,27.84,7.18,3.49,1,5,,
03-29-20,28.03,6.8,3.62,7,5,,
03-30-20,28.13,6.66,3.53,8,5,,
03-31-20,27.29,6.7,3.51,11,5,11.57,1822
04-01-20,26.07,6.75,3.87,16,5,,
04-02-20,26.83,7.03,3.81,15,5,,
04-03-20,26.73,7.1,3.77,4,5,,
04-04-20,26.62,7.2,3.54,3,5,,
04-05-20,25.74,7.19,3.51,17,5,11.73,1798
04-06-20,25.26,7.26,3.74,14,5,,
04-07-20,26.43,7.41,4.01,13,5,,
04-08-20,27.32,7.56,3.9,10,5,,
04-09-20,28.13,7.66,3.78,2,5,11.94,1789
04-10-20,28.13,7.82,3.77,5,5,,
04-11-20,28.74,7.77,3.5,0,5,,
04-12-20,27.58,7.71,3.36,2,5,,
04-13-20,25.77,7.53,3.31,4,5,,
04-14-20,25.4,7.43,3.49,4,5,11.83,1752
04-15-20,26.25,7.58,3.52,0,5,,
04-16-20,26.79,7.39,3.62,13,5,,
04-17-20,26.48,7.12,3.44,8,5,,
04-18-20,25.4,7.26,3.39,0,5,,
04-19-20,23.63,7.59,3.47,8,5,11.6,1690
04-20-20,22.27,7.6,3.11,4,5,,
04-21-20,23.14,7.66,3.36,1,5,,
04-22-20,23.41,7.8,3.28,16,5,,
04-23-20,22.26,7.84,3.44,24,5,,
04-24-20,23.08,7.8,3.51,22,5,11.59,1706
04-25-20,24.95,7.85,3.52,11,5,,
04-26-20,26.02,7.84,3.7,3,5,,
04-27-20,25.1,7.85,3.63,1,5,,
04-28-20,26.04,7.75,3.31,2,5,11.56,1801
04-29-20,28.44,7.5,2.97,1,5,,
04-30-20,30.28,7.29,2.74,4,5,,
05-01-20,30.08,7.24,2.93,3,5,,
05-02-20,29.28,7.16,3.24,3,5,,
05-03-20,27.98,7.03,3.28,8,5,11.18,1755
05-04-20,28.45,7.06,3.18,4,5,,
05-05-20,27.86,7.11,3.14,1,6,,
05-06-20,29.06,7.05,3.05,16,6,,
05-07-20,30.75,7.1,3.14,11,6,,
05-08-20,29.82,7.16,3.35,9,6,,
05-09-20,29.57,7.09,3.5,11,6,,
05-10-20,30.33,7.23,3.51,7,6,,
05-11-20,30.52,7.12,3.35,0,6,,
05-12-20,28.86,7.33,3.39,2,6,,
05-13-20,29.61,7.48,3.51,1,6,,
05-14-20,29.01,7.55,3.46,7,6,,
05-15-20,28.6,7.63,3.56,10,6,,
05-16-20,29.16,7.54,3.73,3,6,,
05-17-20,29.54,7.68,3.65,8,6,,
05-18-20,30.35,7.31,3.54,1,6,,
05-19-20,30.01,7.2,3.55,5,6,,
05-20-20,29.47,7.29,3.51,3,6,,
